vorname,anzahl
Frieda,14
Friedemann,3
Frieder,1
Friederike,3
Friedrich,17
Frithjof,1
Fritz,8
Fritzi,2
Furkan,3
Futela,1
Fynn,8
Gabriel,20
Gabriela,2
Gabriele,2
Gabriella,3
Gabriella-Florentine,1
Gad,1
Gael,1
Gaetano,1
Gaia,1
Gaith,1
Gathoni,1
Gavin,1
Gavrilo,1
Gega,1
Georg,12
George,1
Georgina,1
Georgios,2
Gerard,1
Gerda,2
Gereon,2
Gerhard,2
Gerhild,1
Germaine,1
Gero,1
Gerrit,1
Gesa,1
Gesine,1
Ghadir,1
Ghiles,1
Gibril,1
Gina,1
Ginaury,1
Gioele,1
Giorgia,1
Gisela,1
Gisella,1
Giulia,3
Giuliana,1
Giuliano,2
Giulio,1
Giuseppe,4
Givenchio,1
Gleb,1
Gloria,2
Grace,2
Graciano,1
Graham,1
Graziella-Mia,1
Great,1
Greatness,1
Gregor,4
Greta,6
Greta-Antonia,1
Griet,1
Guido,2
Guiliano,1
Guillermo,1
Gunjas,1
Gustaf,1
Gustav,6
Gwendolyn,2
Gyulhan,1
GÃ¼l,1
GÃ¼ldane,1
GÃ¼lhan,2
GÃ¼lnas,1
GÃ¼ney,1
Habil,1
Hadiya,1
Hafez,1
Hafize,1
Hafsa,6
Hafsah,1
Hailana,1
Hailey,6
Hailie,1
Haithm,1
Hajo,1
Hakeem,1
Hala,1
Halid,1
Halil,2
Halima,1
Hamed,1
Hamid,1
Hamo,1
Hamta,1
Hamza,11
Hana,4
Hanif,1
Hanifa,1
Hanna,18
Hanna-Lara,1
Hannah,21
Hanne,2
Hannes,8
Hanni,2
Hanno,1
Hans,2
Harald,2
Harjinder,1
Haroune,1
Hartmut,1
Hartwig,1
Harun,3
Harvey,2
Hasan,2
Hashim,2
Hassan,4
Hastiar,1
Hatice,1
HatidÅ¾a,1
Hauke,1
Havrin,1
Hawa,2
Hayat,2
Haylie,1
Hazal,1
Hector,2
Hedwig,1
Heidi,4
Heike,2
Heino,1
Heinrich,9
Heinz,2
Helen,1
Helena,14
Helene,8
Helge,1
Helin,1
Helmut,2
Hend,1
Hendrik,1
Henning,1
Henri,19
Henriette,1
Henrik,4
Henry,34
Henryk,2
Herbert,3
Hermann,2
Herschey,1
Hevda,1
Hevin,1
Hevrin,2
Hiba,1
Hidaya,1
Hieronymus,1
Hilda,1
Hilde,1
Hildegard,1
Hilke,1
Hindia,1
Hira,2
Hiranur,1
Hiro,1
Hoan,1
Hoang,1
Homem,1
Hope,2
Hossein,1
Housain,1
HoÃ ng,1
Hubert,1
Hubertine,1
Hugo,7
Hulk,1
Hussain,1
Hussein,1
Huy,1
Hysnije,1
HÃ¼meyra,1
HÃ¼seyin,1
Ian,4
Iana,1
Ianis-Alexandru,1
Ibragimovna,1
Ibrahim,12
Ibroimdzhon,1
Icyeza,1
Ida,23
Idriss,1
Iggy,1
Ignacio,1
Ignatius,1
Iko,1
Ikram,1
Ilaria,2
Ilay,1
Ilayda,1
Ilian,4
Ilias,4
Ilja-Alexej,1
Ilona,1
Ilyas,8
Imad,1
Imani,1
Imanuel,1
Immanuel,1
Imran,5
Ina,3
Inaaya,1
Inaio,1
Inaja,1
Inan,1
Inar,1
Inaya,1
Indira,2
Ines,1
Ingrid,1
Inola,1
Insa,1
Inumidun,1
Ioannis,1
Ionna,1
Iosif,1
Ipek,1
Iraq,1
Irbekovna,1
Irene,2
Ireneusz,1
Irina,2
Irini,1
Irmgard,1
Isa,4
Isaa,1
Isaak,1
Isabel,7
Isabell,4
Isabella,17
Isabelle,3
Isak,1
Ishaan,1
Ishan,1
Isheja,1
Ishya,1
Isis,1
Ismail,5
Ismailova,1
Ismoil,1
IsmÃ¤el,1
Isolde,1
Israela,1
Issa,5
Issam,2
Issiaga,1
Issy,1
Ivan,2
Ivana,1
Ivanka,1
Ivanna,1
Ivano,1
IvanoviÄ,1
Ivar,1
Iyobosa,1
Jabal,1
Jace,1
Jacek,1
Jack,1
Jackson,1
Jacob,6
Jacques,2
Jad,4
Jaden,3
Jae,1
Jago,2
Jahnova,1
Jaiden,1
Jakob,43
Jakub,1
Jalin-Amy,1
Jamal,3
James,5
Jamie,2
Jamien,1
Jamil-Mustafa,1
Jamila,3
Jan,23
Jana,13
Jana-Marianne,1
Jani-Nilas,1
Janik,2
Janika,1
Janina,1
Jannah,1
Janne,3
Jannek,1
Jannes,4
Jannik,8
Jannika,1
Jannis,7
Janno,1
Jano,4
Janosch,4
Jante,1
Janyar,1
Jara,1
Jargon,1
Jari,1
Jarne,1
Jaro,3
Jaron,7
Jaroslav,1
Jarvis,1
Jascha,1
Jasina,1
Jasleen,1
Jasmin,10
Jason,4
Jasper,7
Jay,1
Jayden,2
Jean-Philippe,1
Jean-Steve,1
Jebet,1
Jelano,1
Jeldrik,1
Jelimo,1
Jeliya,1
Jella,1
Jenna,2
Jennifer,1
Jenny,1
Jerome,1
Jesper,1
Jessica,2
Jia,1
Jian,1
Jiani,1
Jihan,1
Jilissa,1
Jill-Marie,1
Jillian,1
Jimena,1
Jiren,1
Jiyan,1
Joachim,2
Joah,1
Joana,1
Joanna,1
Joao,1
Joaquin,1
Jocelyn,1
Joel,10
Joel-Kevin,1
Joelle,1
Joemma,1
Johan,2
Johann,30
Johanna,32
Johannes,17
John,6
Joko,1
Jola,1
Jolanda,1
Joleen,4
Joleen-Shaylin,1
Jolie,5
Jolien,2
Jolina,3
Joline,4
Joly,1
Jon,4
Jona,14
Jonah,12
Jonas,50
Jonathan,36
Jonida,1
Jonna,3
Jonne,2
Jonte,4
Jora,1
Jordan,1
Jorin,1
Joris,4
Jorne,1
Jory,1
Josa,1
Joscha,3
Joschua,2
Jose,1
Josef,6
Josefa,1
Josefin,1
Josefine,13
Joseph,4
Josephine,16
Josha,1
Joshua,11
Josias,1
Josie,3
Jost,1
Josue,1
Josy,1
JosÃ©phine,1
Joud,1
Joudi,1
Joung,1
Joy,2
Joyce,1
Juan,2
Jud,1
Judith,2
Judy,1
Judy-Maria,1
Jul,1
Jula,1
Jule,6
Julen,1
Juli,2
Julia,18
Julia-Evin,1
Julian,30
Juliana,2
Juliane,1
Juliano,2
Julie,2
Julien,2
Juliett,1
Julius,19
Juliusz,1
JuliÃ¡n,1
Juna,8
Junaid,1
June,1
Junes,1
Junior,1
Junis,1
Junkai,1
Junus,2
Juri,2
Jurij,1
Justina,1
Justus,5
Jutta,1
Jutta-Zakia,1
Juwan,1
JÃ¡nos,1
JÃ¶rg,1
JÃ¼rgen,2
Kaami,1
Kaan,2
Kabir,1
Kadir,3
Kadriye,1
Kai,3
Kaif,1
Kaja,2
Kalle,3
Kamal,1
Kani,1
Kara,1
Karam,2
Karamba,1
Kareem,2
Karez,1
Kariim,1
Karina,2
Karl,32
Karla,7
Karlo,1
Karlotta,1
Karlsson,1
Karol,1
Karolina,2
Karoline,1
Kasi,1
Kassian,1
Kassim,1
Katalin,1
Katerina,1
Katharina,24
Kathrin,1
Katja,1
Kaue,1
Kaur,1
Kausar,1
Kayla,1
Kayra,2
Kebir,1
Keijo,1
Keitlyn,1
Kemal,2
Kena,1
Kenan,2
Kenji,1
Keno,1
Kenza,1
Kenzo,1
Kerim,1
Kevin,2
Kewei,1
Keyan,1
Keyhan,1
Khadija,3
Khaled,1
Khalil,1
Khan,1
Kharys,1
Khubayb,1
Khudeeda,1
Kian,6
Kiana,2
Kiano,1
Kiara,1
Kiara-Melina,1
Kidima,1
Kigen,1
Kilian,9
Killian,1
Kim,1
Kimberly,1
Kimya,1
King,1
Kipkalya,1
Kipkayan,1
Kira,3
Kirsten,1
Kishore,1
Kiyan,2
Kjartan,1
Klaas,1
Klara,13
Klaus,2
Klea,1
Klemens,2
Kofi,1
Kolja,2
Konrad,6
Konstantin,18
Kornelia,1
Kousay,1
Krish,1
Krishna,1
Kristian,1
Kristina,2
Kristopher,1
Kuba,1
Kunigunde,1
Kuzey,2
Kwabena,1
Kwaku,1
Kyara,1
Kylie,1
Kyra,2
Kyuri,1
KÃ¤the,1
Lachezarova,1
Lady,2
Laetitia,1
